model,fold,train_rows,validation_rows,train_customers,validation_customers,mae,rmse,r2
ridge_log1p_baseline,1,19410,4805,1874,465,923.9814075236534,2871.6577230752737,0.09293397988896601
ridge_log1p_baseline,2,19423,4792,1870,469,1065.9263493125882,6065.295615313591,-0.6836934927011125
ridge_log1p_baseline,3,19359,4856,1868,471,1340.4087687469475,9684.296997167035,-12.738439061015164
ridge_log1p_baseline,4,19315,4900,1872,467,1119.3419989816612,4634.288771310834,0.6981376860699091
ridge_log1p_baseline,5,19353,4862,1872,467,720.9718482463898,2142.863779123408,0.2175098986045716
xgboost_log1p,1,19410,4805,1874,465,773.9388285079375,2242.320434410002,0.4469442672205771
xgboost_log1p,2,19423,4792,1870,469,844.683854748457,3225.108174178816,0.5239553815331572
xgboost_log1p,3,19359,4856,1868,471,726.2654867558286,1845.6206372730667,0.5010166350939935
xgboost_log1p,4,19315,4900,1872,467,1214.776876375757,6746.264791899741,0.36031012109586813
xgboost_log1p,5,19353,4862,1872,467,645.4579347831558,1811.4353130964098,0.4408409169096591
xgboost_squared_error,1,19410,4805,1874,465,800.5537687910796,2487.2888038480946,0.3195033697660967
xgboost_squared_error,2,19423,4792,1870,469,799.8607919056785,2615.3479766962446,0.686946870710881
xgboost_squared_error,3,19359,4856,1868,471,838.3950061256371,2156.6919254542445,0.31863877247223993
xgboost_squared_error,4,19315,4900,1872,467,1208.623750952024,6181.436140062967,0.46294163337688543
xgboost_squared_error,5,19353,4862,1872,467,686.2387025601676,2563.859390890179,-0.12015502517359167
xgboost_tweedie,1,19410,4805,1874,465,757.4144572632916,2409.955746867416,0.3611606123090324
xgboost_tweedie,2,19423,4792,1870,469,741.0505404836149,2426.822476587999,0.7304526259939632
xgboost_tweedie,3,19359,4856,1868,471,726.5739158089824,1816.527303587832,0.5166240352270153
xgboost_tweedie,4,19315,4900,1872,467,1108.5226756910986,5746.124754176731,0.5359200408234039
xgboost_tweedie,5,19353,4862,1872,467,588.6407339582205,1390.149011146183,0.6706843011156952
xgboost_hurdle,1,19410,4805,1874,465,756.0490407208295,2412.2353894331054,0.35995144964983594
xgboost_hurdle,2,19423,4792,1870,469,738.4406147484113,2464.4606839080893,0.7220268322590022
xgboost_hurdle,3,19359,4856,1868,471,730.3826076119685,1706.3237653394074,0.5734950547389563
xgboost_hurdle,4,19315,4900,1872,467,1151.1491883256408,5934.741615806476,0.5049531015249298
xgboost_hurdle,5,19353,4862,1872,467,606.1744572151293,1600.5161804105126,0.5634742548653779
