feature,vif
mean_product_popularity,9.512558174
median_product_popularity,7.14781442
seasonal_purchase_concentration,5.013987813
unique_product_count,4.41770965
recency_days,4.276069519
frequency_orders,4.248278462
customer_tenure_days,3.30633914
max_product_popularity,2.853754513
avg_distinct_products_per_order,2.106965205
avg_order_value,1.872510298
category_affinity_10,1.853170981
net_spend,1.834406329
mean_interpurchase_gap_days,1.601095077
category_affinity_20,1.586633636
avg_basket_units,1.579532801
category_affinity_03,1.507312128
category_affinity_25,1.433953008
category_affinity_05,1.389964762
category_affinity_06,1.365047338
variance_interpurchase_gap_days,1.32909826
category_affinity_15,1.320556673
category_affinity_13,1.278348969
category_affinity_12,1.268969137
category_affinity_27,1.267018476
category_affinity_09,1.262094384
category_affinity_18,1.26046536
category_affinity_17,1.254487148
category_affinity_14,1.250998719
category_affinity_19,1.230742699
category_affinity_21,1.227986885
category_affinity_26,1.211639951
category_affinity_08,1.206211253
category_affinity_23,1.201502873
category_affinity_02,1.19078134
category_affinity_07,1.17334503
category_affinity_11,1.169197467
category_affinity_01,1.168618525
markdown_affinity_proxy,1.154154499
category_affinity_28,1.150863773
category_affinity_04,1.140045894
category_affinity_22,1.111174365
category_affinity_29,1.099716244
category_affinity_16,1.076740557
category_affinity_24,1.074759904
return_rate,1.07160813
rare_product_share,1.062514397
purchase_frequency_trend,1.027840664
