feature,vif
category_affinity_00,45.74931176
category_affinity_10,40.42393525
category_affinity_20,24.13573514
category_affinity_03,21.8697365
category_affinity_05,17.08126336
engagement_score,15.99733557
category_affinity_06,15.7127371
category_affinity_25,14.87770191
category_affinity_27,14.07394003
category_affinity_15,13.95852955
recency_days,12.88883381
category_affinity_08,11.57085183
category_affinity_09,11.50207026
category_affinity_18,10.65571908
category_affinity_21,10.55538392
category_affinity_23,10.11328059
category_affinity_12,9.977994337
mean_product_popularity,9.6281132
category_affinity_13,9.072439791
category_affinity_14,8.949017465
category_affinity_26,8.304440856
category_affinity_17,7.950178385
median_product_popularity,7.17398286
category_affinity_04,7.159938743
category_affinity_01,6.824860758
category_affinity_02,6.05604408
seasonal_purchase_concentration,5.914404851
category_affinity_28,5.701637611
category_affinity_19,5.655176866
category_affinity_11,5.42086507
unique_product_count,4.431702064
customer_tenure_days,4.326877656
frequency_orders,4.268203431
category_affinity_07,4.22240394
category_affinity_22,3.977094559
category_affinity_24,3.014397187
max_product_popularity,2.944357651
category_affinity_29,2.786983989
mean_interpurchase_gap_days,2.251102042
category_affinity_16,2.139398092
avg_distinct_products_per_order,2.114026131
avg_order_value,1.929467456
net_spend,1.840000541
avg_basket_units,1.581305169
variance_interpurchase_gap_days,1.333989948
markdown_affinity_proxy,1.259544613
return_rate,1.079653368
rare_product_share,1.075058184
purchase_frequency_trend,1.044741713
