country,orders,identified_customers,gross_revenue,units
United Kingdom,36184,5334,16801004.62,9176169
EIRE,581,3,623414.16,336088
Netherlands,216,22,549773.41,383625
Germany,753,107,383289,223088
France,598,93,311090.29,270582
Australia,89,15,167800.01,103753
Spain,144,38,97766.75,49996
Switzerland,85,22,94024.59,52612
Sweden,99,19,86319.14,88537
Denmark,42,12,67422.69,237406
Belgium,143,29,56993.17,34347
Portugal,85,23,47338.27,27535
Channel Islands,54,13,44030.33,21389
Japan,33,10,43023.91,31643
Norway,39,12,38575.36,23556
