year_month,quarter,orders,gross_revenue,units
2009-12,4,1666,797901.16,425218
2010-01,1,1049,612297.42,390412
2010-02,1,1189,537909.67,381620
2010-03,1,1647,761705.98,525042
2010-04,2,1435,646340.93,366065
2010-05,2,1484,643492.03,395438
2010-06,2,1612,696583.19,406238
2010-07,3,1507,632994.32,337556
2010-08,3,1402,674037.72,471931
2010-09,3,1789,869243.12,583366
2010-10,4,2244,1094421.23,619506
2010-11,4,2719,1429700.78,724263
2010-12,4,1550,775638.36,357529
2011-01,1,1081,670380.24,386738
2011-02,1,1093,507799.87,282627
2011-03,1,1440,689833.51,376182
2011-04,2,1235,515377.99,307650
2011-05,2,1668,739953,394653
2011-06,2,1525,737558.98,388124
2011-07,3,1452,688219.34,399290
2011-08,3,1339,724216.5,420695
2011-09,3,1818,1028320.38,568700
2011-10,4,2005,1103314.25,619597
2011-11,4,2751,1452115.98,746952
2011-12,4,816,614490.92,312647
