feature,mean_absolute_shap
recency_days,0.0641514210330783
frequency_orders,0.033096204333478124
net_spend,0.03270090698017036
variance_interpurchase_gap_days,0.027655595724707552
unique_product_count,0.022367380801792642
seasonal_purchase_concentration,0.02070583517798277
mean_interpurchase_gap_days,0.019534943128400394
customer_tenure_days,0.011706013242263434
category_affinity_29,0.011311226145561685
category_affinity_21,0.009539054317845415
category_affinity_02,0.00953624846385504
return_rate,0.008521571056738614
category_affinity_11,0.008036201963367377
purchase_frequency_trend,0.007680486128485899
category_affinity_07,0.006584187035699814
category_affinity_12,0.006060407477627349
markdown_affinity_proxy,0.005476648090358851
category_affinity_14,0.004810556208539976
category_affinity_09,0.004654679004302886
category_affinity_28,0.004269807269844016
avg_basket_units,0.0042433518530411085
median_product_popularity,0.003947009726325967
avg_order_value,0.003865928886040014
category_affinity_26,0.0036458632031886634
max_product_popularity,0.003229658526724465
avg_distinct_products_per_order,0.0031907741748892883
category_affinity_01,0.0024240731112700918
category_affinity_19,0.0024149944878814086
category_affinity_15,0.002382192414028698
category_affinity_04,0.002227547182475801
category_affinity_25,0.002118062151808914
category_affinity_20,0.0020846204638945223
category_affinity_08,0.0020717363177111554
category_affinity_27,0.0019450586391535154
mean_product_popularity,0.001909953536608219
category_affinity_06,0.001672708540120637
category_affinity_10,0.001630502049797164
category_affinity_13,0.0015748393619805187
category_affinity_03,0.0015684461164711858
category_affinity_24,0.0012462421798970832
category_affinity_18,0.0012198836869041075
rare_product_share,0.0011353340561316347
category_affinity_05,0.0011321876201995582
category_affinity_17,0.0011269525375195806
category_affinity_22,0.0011123352015233118
category_affinity_16,0.0008453937669152438
category_affinity_23,0.0006594854832480478
