feature,mean_absolute_shap_log1p_clv
recency_days,1.5243600043735483
customer_tenure_days,0.5952971504129425
mean_interpurchase_gap_days,0.4568296236622443
seasonal_purchase_concentration,0.4134028222758367
avg_distinct_products_per_order,0.19650004795711354
markdown_affinity_proxy,0.17715392908329608
median_product_popularity,0.15545037523722768
mean_product_popularity,0.14070199489445337
category_affinity_09,0.12865358697467347
variance_interpurchase_gap_days,0.12009213880852655
category_affinity_11,0.09974742919642242
category_affinity_25,0.09325589181773164
unique_product_count,0.0832748885470438
category_affinity_21,0.06805273279936619
category_affinity_18,0.06547387834037059
category_affinity_29,0.062317628938641054
frequency_orders,0.05772356204360794
category_affinity_07,0.054411688283370854
category_affinity_06,0.053892630597832836
category_affinity_03,0.0453026428553847
category_affinity_26,0.03661165388673405
category_affinity_13,0.03566979347544962
net_spend,0.034630321973819614
avg_order_value,0.029650047911016695
category_affinity_10,0.029061622518960214
category_affinity_22,0.028789095791157092
category_affinity_04,0.025970832522927055
category_affinity_05,0.02490584464502611
category_affinity_17,0.024504984102888653
return_rate,0.023932305505011655
category_affinity_20,0.021258212113040745
category_affinity_23,0.020300547280058336
category_affinity_16,0.02021831466079799
category_affinity_14,0.014410087478572777
category_affinity_08,0.013858543443096942
category_affinity_28,0.009538363755348937
category_affinity_12,0.009492401192299344
avg_basket_units,0.0070602811640786585
category_affinity_24,0.005398941350173
category_affinity_02,0.004577883817648793
category_affinity_01,0.004367641481868367
purchase_frequency_trend,0.0033772344758843326
category_affinity_15,0.0032211624115115983
category_affinity_19,0.0029671479199106713
rare_product_share,0.0027142813792967323
category_affinity_27,0.0013709940084165478
max_product_popularity,0.001235232365680468
