feature,mean_absolute_multiclass_shap
category_affinity_10,0.17136648893237627
mean_interpurchase_gap_days,0.16621821389308938
category_affinity_20,0.16539459572896523
category_affinity_03,0.1614754535604319
category_affinity_04,0.16112812094774284
category_affinity_09,0.1558150421854961
category_affinity_15,0.15064409887613742
category_affinity_06,0.15036773622076077
avg_order_value,0.1450409124127316
customer_tenure_days,0.14435154724489765
category_affinity_14,0.14401445941345575
return_rate,0.14249526997571757
avg_basket_units,0.1413860620254444
category_affinity_27,0.14138051555435419
category_affinity_21,0.13818366001701013
category_affinity_11,0.13705586985713356
median_product_popularity,0.13371348008950473
avg_distinct_products_per_order,0.13198045358977553
mean_product_popularity,0.13197426055590614
net_spend,0.1304080571798763
recency_days,0.13031002792462507
category_affinity_13,0.12929075033487952
category_affinity_26,0.1234794037780238
category_affinity_07,0.12187118670778573
category_affinity_28,0.1215685271442369
markdown_affinity_proxy,0.12065805468671004
category_affinity_19,0.11687493771550578
category_affinity_25,0.11498207544729004
category_affinity_05,0.11482481754983395
category_affinity_23,0.1124139275911718
category_affinity_18,0.11098675309972196
max_product_popularity,0.10928088018472744
category_affinity_02,0.1057164715739039
category_affinity_08,0.10276184123465469
variance_interpurchase_gap_days,0.10202974713850003
unique_product_count,0.09469586726154465
category_affinity_24,0.09329965591775732
category_affinity_29,0.09305396400542744
category_affinity_17,0.0876231805919159
category_affinity_12,0.08720750489219724
category_affinity_01,0.0791272655075327
purchase_frequency_trend,0.05417661057921791
frequency_orders,0.051356495861941645
seasonal_purchase_concentration,0.0500630657129561
category_affinity_22,0.04696152664449796
category_affinity_16,0.044409127051641
rare_product_share,0.03212416977489079
